X,Y,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,LocationX,LocationY
-90.017799009994221,29.923616522863586,16311,"ALGIERS PHARMACY, LLC",ALGIERS PHARMACY,3648 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,,1120 - PHARMACIES & DRUG STORES,3697553.45149,520104.9662
-90.076989294556824,29.951922709288411,16312,AVITA DRUGS LLC,AVITA DRUGS,2601 TULANE AVE,445,NEW ORLEANS,LA,70119,504-822-8013,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
-90.097525430385232,29.964705217965268,16313,AVITA DRUGS LLC,AVITA DRUGS,3308 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672138.59572,534765.195014
-90.085254168801882,29.964538646765238,16314,BENZER LA 1 LLC,BENZER PHARMACY,2525 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3676024.64654,534746.73607
-90.09016139835343,29.96190998895651,16315,"BEST LIFE PHARMACY & RESTAURANT, INC.",BEST LIFE PHARMACY,2657 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3674481.26254,533773.965701
-90.077681417634324,29.976193444403126,16316,HUNG TRAN PHAT PHARMACY,BROAD AVENUE PHARMACY,1400 N BROAD ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3678375.92955,539011.057866
-90.015465405427875,29.919552004640167,16317,CARR'S DRUGS INC,CARR'S DRUGS INC,3500 HOLIDAY DR,,NEW ORLEANS,LA,70114-8207,,1120 - PHARMACIES & DRUG STORES,3698309.62736,518635.466231
-90.131358742047482,29.948478385076982,16318,TERSCO LLC,CASTELLON PHARMACY,8232 OAK ST,,NEW ORLEANS,LA,70118,504-866-3784,1120 - PHARMACIES & DRUG STORES,3661487.98963,528750.531264
-90.115357813189391,30.020384046246811,16319,CHARBONNET FAMILY PHARMACY,CHARBONNET FAMILY PHARMACY,7211 REGENT ST,,NEW ORLEANS,LA,70124,504-309-2449,1120 - PHARMACIES & DRUG STORES,3666277.18855,554951.808856
-90.065463541054868,29.972045529598766,16320,HERBERT BURRELL,CLAIBORNE DISCOUNT,1522  ST BERNARD AVE,,NEW ORLEANS,LA,70116,504-957-2336,1120 - PHARMACIES & DRUG STORES,3682260.6548,537545.313544
-90.025794845440672,29.926263809772639,16321,"COLISTICS,INC",COLISTICS PHARMACY,3361 GENERAL DE GAULLE DR,STE #A,NEW ORLEANS,LA,70114,,1120 - PHARMACIES & DRUG STORES,3695009.75786,521038.619641
-89.973518966526242,30.032076315937498,16322,"COMMUNITY CHOICE PHARAMACY, LLC",COMMUNITY CHOICE PHARAMACY,9970 LAKE FOREST BLVD,STE A,NEW ORLEANS,LA,70127,504-957-2336,1120 - PHARMACIES & DRUG STORES,3711111.22251,559708.436061
-90.130601195319144,29.947879066074577,16323,MBP GROUP LLC,CRESCENT CITY APOTHECARY,8138 OAK ST,,NEW ORLEANS,LA,70118,504-220-6828,1120 - PHARMACIES & DRUG STORES,3661730.17542,528535.113024
-90.085952877439553,29.93867618284715,16324,"LMF VENTURES, LLC",CRESCENT CITY PHARMACY,2240 SIMON BOLIVAR AVE,STE A,NEW ORLEANS,LA,70113,504-267-4100,1120 - PHARMACIES & DRUG STORES,3675905.79713,525339.772413
