X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName
-90.066795162429386,29.953230341392945,84858,7 DAYS CONVENIENCE STORE,529 IBERVILLE ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES,"7 DAYS CONVENIENCE STORE, LLC"
-89.92904199581163,30.031986057266,84859,99 SUPERMARKET,4646 MICHOUD BLVD,,NEW ORLEANS,LA,70129,504-628-7208,1106 - GROCERY (EXC CONVENIENCE) STORES,99 CORPORATION INC
-89.999912773961029,29.911395962498684,84860,A & J'S MART,5163 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-394-4410,1101 - CONVENIENCE STORES,ARAMIX INC.
-90.061956772381436,29.967917482703371,84861,A & M FOOD STORE,1741 MCSHANE PL,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES,A & M FOOD STORE LLC
-90.076989294556824,29.951922709288411,84862,ADAMS FOOD STORE #3,3001 BIENVILLE ST,,NEW ORLEANS,LA,70119-5401,504-861-1120,1101 - CONVENIENCE STORES,"LISA & LIZ, CORP        NGUYEN, BA V"
-90.125334422118684,29.945537782293108,84863,ADAMS STREET GROCERY,1309 ADAMS ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES,B & N FOOD STORE INC
-90.076989294556824,29.951922709288411,84864,AEREN'S SUPERMARKET,3911 WASHINGTON AVE,,NEW ORLEANS,LA,70125,504-302-9875,1106 - GROCERY (EXC CONVENIENCE) STORES,"ZEYNA, LLC"
-90.000904322954867,29.911994827895914,84865,ALG DISCOUNT,5101 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-253-1254,1101 - CONVENIENCE STORES,"ALG DISCOUNT, LLC"
-90.052082721171715,29.946698174991507,84866,ALGIERS CENTRAL MARKET,840 TECHE ST,,NEW ORLEANS,LA,70114,504-366-3221,1106 - GROCERY (EXC CONVENIENCE) STORES,"ALGIERS CENTRAL,INC"
-90.019276118740407,29.938688005791516,84867,ALGIERS DISCOUNT FOOD STORE,3549 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES,ALGIERS DISCOUNT FOOD STORE INC
-90.022968620618641,29.940426723667752,84868,ALGIERS SUPERMARKET,3141 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES,"ALGIERS SUPERMARKET,LLC"
-90.086909092935755,29.957317578608805,84869,"ALLIANCE SUPPLY MANGEMENT, LTD",555 S GALVEZ ST,,NEW ORLEANS,LA,70119,713-335-2500,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH","ALLIANCE SUPPLY MANGEMENT, LTD"
-90.05822235946026,29.967229573273769,84870,ALOIS J BINDER BAKERY,940 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH",ALOIS J BINDER BAKERY INC
-90.058418996106724,29.961028678934539,84871,ALTALIEH CONVENIENCE,87 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-339-8438,1101 - CONVENIENCE STORES,ALTALIEH CONVENIENCE LLC
