X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
-90.118262782547419,30.005444248706599,248856,THE BACKYARD,244 W HARRISON AVE,,NEW ORLEANS,LA,70124,512-689-5613,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE BACKYARD, LLC",3665415.52244,549509.317267
-90.068993613046757,29.955052881976453,248857,THE BAR & STEAKHOUSE AT GALATOIRE'S,215 BOURBON ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),NEW ORLEANS EQUITY LLC,3681211.2116,531353.804866
-90.090691249986236,30.023227321820649,248858,THE BIRDS NEST CAFE LLC,6508 SPANISH FORT BLVD,,NEW ORLEANS,LA,70124,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),THE BIRDS NEST CAFE LLC,3674071.68251,556069.551834
-90.076226869571087,29.937723473369395,248859,THE BLIND PELICAN,1628 ST CHARLES AVE,,NEW ORLEANS,LA,70130,504-919-4423,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"3705 IBERVILLE,LLC",3678989.89774,525026.996221
-90.113398247912897,30.025818416901064,248860,THE BLUE CRAB RESTAURANT & OYSTER BAR,7900 LAKESHORE DR,,NEW ORLEANS,LA,70124,504-473-7403,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LAKEVIEW LANDINGS, LLC",3666876.25191,556934.571034
-90.076989294556824,29.951922709288411,248861,THE CHEESY CAJUN,3325 SAINT CLAUDE AVE,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MDDM, LLC",3678691.8167,530187.70942
-90.10552762158963,29.934968325348958,248862,THE COMPANY BURGER,4600 FRERET ST,STE A,NEW ORLEANS,LA,70115,404-514-6437,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BIDS CORP, LLC",3669720.76724,523924.498876
-90.074854610437328,29.948916737558324,248863,THE COMPANY BURGER,611 OKEEFE AVE,C-7,NEW ORLEANS,LA,70113,404-514-6437,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),COBU2 LLC,3679379.80264,529102.045504
-90.067332293974317,29.956116427283824,248864,THE COPPER MONKEY GRILL,725 CONTI ST,,NEW ORLEANS,LA,70130,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),REBIRTH INVESTMENT LLC,3681733.00412,531746.357379
-90.062858100793392,29.948970099439773,248865,THE CRAZY LOBSTER BAR & GRILL,1 POYDRAS ST,83,NEW ORLEANS,LA,70130,504-569-3382,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),A BAR & GRILL WITH A BITE,3683178.57832,529163.372992
